id,status,timestamp,jenis_layanan,nama,program_studi,nim
35,Pending,2026-02-06 09:03:14,Keterangan Mahasiswa Aktif,Vania Rahmadani,Sains Aktuaria,122000094
36,Pending,2026-02-06 13:28:59,Keterangan Mahasiswa Aktif,Rafi Nasution,Magister Fisika,122000095
37,Pending,2026-02-07 08:42:25,Keterangan Mahasiswa Aktif,Naura Fatimah,Sains Lingkungan Kelautan,122000096
38,Pending,2026-02-07 10:51:43,Keterangan Mahasiswa Aktif,Akbar Ridwan,Farmasi,122000097
39,Pending,2026-02-08 09:37:16,Keterangan Mahasiswa Aktif,Sekarsari Putri,Fisika,122000098
40,Pending,2026-02-08 14:09:28,Keterangan Mahasiswa Aktif,Bayu Nugraha,Matematika,122000099
41,Pending,2026-02-09 08:31:57,Keterangan Mahasiswa Aktif,Annisya Fitri,Sains Atmosfer dan Keplanetan,122000100
42,Pending,2026-02-09 11:18:22,Keterangan Mahasiswa Aktif,Hamdan Fauzi,Kimia,122000101
43,Pending,2026-02-10 09:46:05,Keterangan Mahasiswa Aktif,Monica Safira,Biologi,122000102
44,Pending,2026-02-10 13:04:41,Keterangan Mahasiswa Aktif,Tegar Sanjaya,Sains Data,122000103
45,Pending,2026-02-11 08:55:33,Keterangan Mahasiswa Aktif,Raisa Mahira,Sains Aktuaria,122000104
46,Pending,2026-02-11 10:43:19,Keterangan Mahasiswa Aktif,Haikal Ramadhan,Magister Fisika,122000105
47,Pending,2026-02-12 09:19:47,Keterangan Mahasiswa Aktif,Meyra Lestari,Sains Lingkungan Kelautan,122000106
48,Pending,2026-02-12 14:25:06,Keterangan Mahasiswa Aktif,Agung Pratama,Farmasi,122000107
49,Pending,2026-02-13 08:34:58,Keterangan Mahasiswa Aktif,Felicia Anggraini,Fisika,122000108
50,Pending,2026-02-13 11:09:27,Keterangan Mahasiswa Aktif,Farhan Akbar,Matematika,122000109
51,Pending,2026-02-14 09:28:13,Keterangan Mahasiswa Aktif,Vina Marlina,Sains Atmosfer dan Keplanetan,122000110
52,Pending,2026-02-14 13:49:51,Keterangan Mahasiswa Aktif,Rio Fernando,Kimia,122000111
53,Pending,2026-02-15 08:45:36,Keterangan Mahasiswa Aktif,Diah Kartika,Biologi,122000112
54,Pending,2026-02-15 10:57:24,Keterangan Mahasiswa Aktif,Adam Rizaldi,Sains Data,122000113
55,Pending,2026-02-16 09:11:48,Keterangan Mahasiswa Aktif,Tiara Novelia,Sains Aktuaria,122000114
56,Pending,2026-02-16 14:03:17,Keterangan Mahasiswa Aktif,Gilang Prasetyo,Magister Fisika,122000115
57,Pending,2026-02-17 08:37:29,Keterangan Mahasiswa Aktif,Syifa Maulida,Sains Lingkungan Kelautan,122000116
58,Pending,2026-02-17 11:26:54,Keterangan Mahasiswa Aktif,Indra Kurniawan,Farmasi,122000117
59,Pending,2026-02-18 09:44:38,Keterangan Mahasiswa Aktif,Elsa Novita,Fisika,122000118
60,Pending,2026-02-18 13:15:22,Keterangan Mahasiswa Aktif,Ridho Saputra,Matematika,122000119
61,Pending,2026-02-19 08:22:46,Keterangan Mahasiswa Aktif,Vania Nurhaliza,Sains Atmosfer dan Keplanetan,122000120
62,Pending,2026-02-19 10:59:11,Keterangan Mahasiswa Aktif,Akmal Fauzan,Kimia,122000121
63,Pending,2026-02-20 09:36:27,Keterangan Mahasiswa Aktif,Nabila Zahira,Biologi,122000122
64,Pending,2026-02-20 14:18:43,Keterangan Mahasiswa Aktif,Rendy Firmansyah,Sains Data,122000123
65,Pending,2026-02-21 08:49:35,Keterangan Mahasiswa Aktif,Hana Nurfadila,Sains Aktuaria,122000124
66,Pending,2026-02-21 11:34:09,Keterangan Mahasiswa Aktif,Arif Hartono,Magister Fisika,122000125
67,Pending,2026-02-22 09:07:52,Keterangan Mahasiswa Aktif,Shafa Anindya,Sains Lingkungan Kelautan,122000126
68,Pending,2026-02-22 13:56:31,Keterangan Mahasiswa Aktif,Ferdiansyah Putra,Farmasi,122000127
69,Pending,2026-02-23 08:31:18,Keterangan Mahasiswa Aktif,Alya Salsabila,Fisika,122000128
70,Pending,2026-02-23 10:48:45,Keterangan Mahasiswa Aktif,Yusuf Hakim,Matematika,122000129
71,Pending,2026-02-24 09:25:07,Keterangan Mahasiswa Aktif,Dewi Anggraini,Sains Atmosfer dan Keplanetan,122000130
72,Pending,2026-02-24 14:11:26,Keterangan Mahasiswa Aktif,Adam Firdaus,Kimia,122000131
73,Pending,2026-02-25 08:54:39,Keterangan Mahasiswa Aktif,Mutiara Nabila,Biologi,122000132
74,Pending,2026-02-25 11:19:58,Keterangan Mahasiswa Aktif,Habibi Santoso,Sains Data,122000133
75,Pending,2026-02-26 09:42:14,Keterangan Mahasiswa Aktif,Sarah Aulia,Sains Aktuaria,122000134
76,Pending,2026-02-26 13:27:33,Keterangan Mahasiswa Aktif,Rizky Maulana,Magister Fisika,122000135
77,Pending,2026-02-27 08:18:55,Keterangan Mahasiswa Aktif,Melati Kusuma,Sains Lingkungan Kelautan,122000136
78,Pending,2026-02-27 10:39:21,Keterangan Mahasiswa Aktif,Karina Nadira,Farmasi,122000137
79,Pending,2026-02-28 09:16:43,Keterangan Mahasiswa Aktif,Naufal Aditya,Fisika,122000138
80,Pending,2026-02-28 14:05:12,Keterangan Mahasiswa Aktif,Intan Permata,Matematika,122000139
81,Pending,2026-03-01 08:47:31,Keterangan Mahasiswa Aktif,Andi Wibowo,Sains Atmosfer dan Keplanetan,122000140
82,Pending,2026-03-01 11:58:04,Keterangan Mahasiswa Aktif,Aulia Rahma,Kimia,122000141
83,Pending,2026-03-02 09:03:26,Keterangan Mahasiswa Aktif,Keisha Anindita,Biologi,122000142
84,Pending,2026-03-02 13:44:49,Keterangan Mahasiswa Aktif,Galih Permana,Sains Data,122000143
85,Pending,2026-03-03 08:36:17,Keterangan Mahasiswa Aktif,Riska Aprilia,Sains Aktuaria,122000144
86,Pending,2026-03-03 10:27:58,Keterangan Mahasiswa Aktif,Habib Firmansyah,Magister Fisika,122000145
87,Pending,2026-03-04 09:55:36,Keterangan Mahasiswa Aktif,Adelia Kirana,Sains Lingkungan Kelautan,122000146
88,Pending,2026-03-04 14:22:15,Keterangan Mahasiswa Aktif,Deni Hermawan,Farmasi,122000147
89,Pending,2026-03-05 08:41:29,Keterangan Mahasiswa Aktif,Marsha Kinanti,Fisika,122000148
90,Pending,2026-03-05 11:09:47,Keterangan Mahasiswa Aktif,Kevin Nugraha,Matematika,122000149
91,Pending,2026-03-06 09:31:54,Keterangan Mahasiswa Aktif,Putri Handayani,Sains Atmosfer dan Keplanetan,122000150
92,Pending,2026-03-06 13:52:28,Keterangan Mahasiswa Aktif,Fajar Alamsyah,Kimia,122000151
93,Pending,2026-03-07 08:24:36,Keterangan Mahasiswa Aktif,Rangga Saputra,Biologi,122000152
94,Pending,2026-03-07 10:46:19,Keterangan Mahasiswa Aktif,Salsa Amelia,Sains Data,122000153
95,Pending,2026-03-08 09:12:41,Keterangan Mahasiswa Aktif,Ilham Ramadhan,Sains Aktuaria,122000154
96,Pending,2026-03-08 14:29:07,Keterangan Mahasiswa Aktif,Nadia Safitri,Magister Fisika,122000155
97,Pending,2026-03-09 08:58:53,Keterangan Mahasiswa Aktif,Bagas Maulana,Sains Lingkungan Kelautan,122000156
98,Pending,2026-03-09 11:37:26,Keterangan Mahasiswa Aktif,Amira Zahra,Farmasi,122000157
99,Pending,2026-03-10 09:20:15,Keterangan Mahasiswa Aktif,Reza Mahendra,Fisika,122000158
100,Pending,2026-03-11 09:21:15,Keterangan Mahasiswa Aktif,Laras Wulandari,Matematika,122000159
