id,status,Timestamp,jenis layanan,Nama Mahasiswa,Program Studi,NIM
56,Pending,24/02/2026 9:10:38,Pendaftaran Semester Antara,Gilang Prasetyo,Sains Lingkungan Kelautan,122000135
57,Pending,24/02/2026 11:17:01,Pendaftaran Semester Antara,Syifa Maulida,Kimia,122000136
58,Pending,25/02/2026 9:24:14,Pendaftaran Semester Antara,Indra Kurniawan,Biologi,122000137
59,Pending,25/02/2026 11:31:27,Pendaftaran Semester Antara,Elsa Novita,Farmasi,122000138
60,Pending,26/02/2026 9:38:40,Pendaftaran Semester Antara,Ridho Saputra,Matematika,122000139
61,Pending,26/02/2026 11:45:03,Pendaftaran Semester Antara,Vania Nurhaliza,Fisika,122000140
62,Pending,27/02/2026 9:52:16,Pendaftaran Semester Antara,Akmal Fauzan,Sains Data,122000141
63,Pending,27/02/2026 11:09:29,Pendaftaran Semester Antara,Nabila Zahira,Sains Aktuaria,122000142
64,Pending,28/02/2026 9:16:42,Pendaftaran Semester Antara,Rendy Firmansyah,Magister Fisika,122000143
65,Pending,28/02/2026 11:23:05,Pendaftaran Semester Antara,Hana Nurfadila,Sains Lingkungan Kelautan,122000144
66,Pending,01/03/2026 9:30:18,Pendaftaran Semester Antara,Arif Hartono,Kimia,122000145
67,Pending,01/03/2026 11:37:31,Pendaftaran Semester Antara,Shafa Anindya,Biologi,122000146
68,Pending,02/03/2026 9:44:44,Pendaftaran Semester Antara,Ferdiansyah Putra,Farmasi,122000147
69,Pending,02/03/2026 11:51:07,Pendaftaran Semester Antara,Alya Salsabila,Matematika,122000148
70,Pending,03/03/2026 9:08:20,Pendaftaran Semester Antara,Yusuf Hakim,Fisika,122000149
71,Pending,03/03/2026 11:15:33,Pendaftaran Semester Antara,Dewi Anggraini,Sains Data,122000150
72,Pending,04/03/2026 9:22:46,Pendaftaran Semester Antara,Adam Firdaus,Sains Aktuaria,122000151
73,Pending,04/03/2026 11:29:09,Pendaftaran Semester Antara,Mutiara Nabila,Magister Fisika,122000152
74,Pending,05/03/2026 9:36:22,Pendaftaran Semester Antara,Habibi Santoso,Sains Lingkungan Kelautan,122000153
75,Pending,05/03/2026 11:43:35,Pendaftaran Semester Antara,Sarah Aulia,Kimia,122000154
76,Pending,06/03/2026 9:50:48,Pendaftaran Semester Antara,Rizky Maulana,Biologi,122000155
77,Pending,06/03/2026 11:57:11,Pendaftaran Semester Antara,Melati Kusuma,Farmasi,122000156
78,Pending,07/03/2026 9:14:24,Pendaftaran Semester Antara,Karina Nadira,Matematika,122000157
79,Pending,07/03/2026 11:21:37,Pendaftaran Semester Antara,Naufal Aditya,Fisika,122000158
80,Pending,08/03/2026 9:28:00,Pendaftaran Semester Antara,Intan Permata,Sains Data,122000159
81,Pending,08/03/2026 11:35:13,Pendaftaran Semester Antara,Andi Wibowo,Sains Aktuaria,122000160
82,Pending,09/03/2026 9:42:26,Pendaftaran Semester Antara,Aulia Rahma,Magister Fisika,122000161
83,Pending,09/03/2026 11:49:39,Pendaftaran Semester Antara,Keisha Anindita,Sains Lingkungan Kelautan,122000162
84,Pending,10/03/2026 9:06:02,Pendaftaran Semester Antara,Galih Permana,Kimia,122000163
85,Pending,10/03/2026 11:13:15,Pendaftaran Semester Antara,Riska Aprilia,Biologi,122000164
86,Pending,11/03/2026 9:20:28,Pendaftaran Semester Antara,Habib Firmansyah,Farmasi,122000165
87,Pending,11/03/2026 11:27:41,Pendaftaran Semester Antara,Adelia Kirana,Matematika,122000166
88,Pending,12/03/2026 9:34:04,Pendaftaran Semester Antara,Deni Hermawan,Fisika,122000167
89,Pending,12/03/2026 11:41:17,Pendaftaran Semester Antara,Marsha Kinanti,Sains Data,122000168
90,Pending,13/03/2026 9:48:30,Pendaftaran Semester Antara,Kevin Nugraha,Sains Aktuaria,122000169
91,Pending,13/03/2026 11:55:43,Pendaftaran Semester Antara,Putri Handayani,Magister Fisika,122000170
92,Pending,14/03/2026 9:12:06,Pendaftaran Semester Antara,Fajar Alamsyah,Sains Lingkungan Kelautan,122000171
93,Pending,14/03/2026 11:19:19,Pendaftaran Semester Antara,Rangga Saputra,Kimia,122000172
94,Pending,15/03/2026 9:26:32,Pendaftaran Semester Antara,Salsa Amelia,Biologi,122000173
95,Pending,15/03/2026 11:33:45,Pendaftaran Semester Antara,Ilham Ramadhan,Farmasi,122000174
96,Pending,16/03/2026 9:40:08,Pendaftaran Semester Antara,Nadia Safitri,Matematika,122000175
97,Pending,16/03/2026 11:47:21,Pendaftaran Semester Antara,Bagas Maulana,Fisika,122000176
98,Pending,17/03/2026 9:04:34,Pendaftaran Semester Antara,Amira Zahra,Sains Data,122000177
99,Pending,17/03/2026 11:11:47,Pendaftaran Semester Antara,Reza Mahendra,Sains Aktuaria,122000178
100,Pending,18/03/2026 9:18:00,Pendaftaran Semester Antara,Laras Wulandari,Sains Aktuaria,122000179
